"job_title_short","company_name","salary_year_avg","job_country"
"Business Analyst","United Energy Solar","35000.0","United States"
"Business Analyst","University of Florida","37250.0","United States"
"Business Analyst","Get It Recruit - Educational Services","42000.0","United States"
"Business Analyst","Turner Pest Control","46000.0","United States"
"Business Analyst","Masis Professional Group","47500.0","United States"
"Business Analyst","LHH Recruitment Solutions","47500.0","United States"
"Business Analyst","Maram Design Office","47608.96875","United States"
"Business Analyst","Inspirus (a Pluxee company)","50000.0","United States"
"Business Analyst","Swain & Baldwin","50000.0","United States"
"Business Analyst","Morgan Stanley","50000.0","United States"
"Business Analyst","Ascendo Resources","51000.0","United States"
"Business Analyst","Ascendion","51500.0","United States"
"Business Analyst","Upen Group Inc","51862.75","United States"
"Business Analyst","Upen Group Inc","51862.75","United States"
"Business Analyst","PTS Services LLC","52500.0","United States"
"Business Analyst","HIRD LLC","54000.0","United States"
"Business Analyst","GradBay","54000.0","United States"
"Business Analyst","Get It Recruit - Finance","55000.0","United States"
"Business Analyst","Stirista LLC","55000.0","United States"
"Business Analyst","LaSalle Network","55000.0","United States"
"Business Analyst","Predator Group","55000.0","United States"
"Business Analyst","American University","55500.0","United States"
"Business Analyst","PSCU","55500.0","United States"
"Business Analyst","Vasion","56700.0","United States"
"Business Analyst","US Department of the Interior","57118.0","United States"
"Business Analyst","menMD","57500.0","United States"
"Business Analyst","Real Time Resolutions Inc","57500.0","United States"
"Business Analyst","Robert Half","57500.0","United States"
"Business Analyst","Light & Wonder","57500.0","United States"
"Business Analyst","All In Solutions","57500.0","United States"
"Business Analyst","Technology Talent Network LLC","57500.0","United States"
"Business Analyst","Palm Medical Centers","60000.0","United States"
"Business Analyst","Rocky Mountain College of Art + Design","60000.0","United States"
"Business Analyst","LAKES REGIONAL COMMUNITY CENTER","60000.0","United States"
"Business Analyst","Retail Data","60000.0","United States"
"Business Analyst","Get It Recruit - Finance","60000.0","United States"
"Business Analyst","Alpine IQ","60000.0","United States"
"Business Analyst","Staffigo","60000.0","United States"
"Business Analyst","Assurant","61000.0","United States"
"Business Analyst","Ellianse LLC","62500.0","United States"
"Business Analyst","Ellianse LLC","62500.0","United States"
"Business Analyst","Ellianse LLC","62500.0","United States"
"Business Analyst","Kaye/Bassman International","62500.0","United States"
"Business Analyst","Ellianse LLC","62500.0","United States"
"Business Analyst","Ellianse LLC","62500.0","United States"
"Business Analyst","Paradigm","63575.0","United States"
"Business Analyst","Axelon Services Corporation","65000.0","United States"
"Business Analyst","NeenOpal Inc.","65000.0","United States"
"Business Analyst","Wisetek","65000.0","United States"
"Business Analyst","GradBay","65000.0","United States"
