"skill_id","job_title_short","skills","skills_demand","avg_salary_yearly"
26,"Business Analyst","c","4","162275.00"
92,"Business Analyst","spark","5","157102.00"
97,"Business Analyst","hadoop","11","154858.09"
137,"Business Analyst","phoenix","14","139076.50"
2,"Business Analyst","nosql","9","128028.22"
185,"Business Analyst","looker","19","121889.47"
13,"Business Analyst","c++","4","121150.00"
80,"Business Analyst","snowflake","28","118951.96"
77,"Business Analyst","bigquery","7","118642.86"
81,"Business Analyst","gcp","6","118358.33"
