"skill_id","job_title_short","skills","skills_demand","avg_salary_yearly"
63,"Data Analyst","cassandra","6","148930.75"
238,"Data Analyst","notion","4","133125.00"
31,"Data Analyst","perl","17","132118.53"
98,"Data Analyst","kafka","20","127430.05"
101,"Data Analyst","pytorch","12","125181.54"
96,"Data Analyst","airflow","44","122718.26"
95,"Data Analyst","pyspark","33","120569.11"
59,"Data Analyst","elasticsearch","6","119333.33"
81,"Data Analyst","gcp","40","119048.69"
99,"Data Analyst","tensorflow","16","118323.66"
